Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;Doubletten;;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;7.416.473.160;USA;;4,53;335.957;14.634;97.882;;;;292
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2020-03-22 17:43;Americas;Northern America;1;USA;United States;CO;;Colorado;;;;;5.029.196;USA_CO;0;9,46;476;6;0;https://www.openstreetmap.org/#map=5/39.0598/-105.3111&layers=T;39.0598;-105.3111;63
2020-03-22 16:13;Asia;South-eastern Asia;65;SGP;Singapore;;;;;;;;5.703.600;SGP;0;7,98;455;2;144;https://www.openstreetmap.org/#map=5/1.3521/103.8198&layers=T;1.3521;103.8198;64
2020-03-22 23:13;Europe;Eastern Europe;40;ROU;Romania;;;;;;;;19.405.156;ROU;0;2,23;433;3;64;https://www.openstreetmap.org/#map=5/45.9432/24.9668&layers=T;45.9432;24.9668;65
2020-03-22 23:43;Americas;Northern America;1;CAN;Canada;ON;;Ontario;;;;;14.659.616;CAN_ON;0;2,90;425;5;6;https://www.openstreetmap.org/#map=5/51.2538/-85.3232&layers=T;51.2538;-85.3232;66
2020-03-21 21:13;Americas;Northern America;1;CAN;Canada;BC;;British Columbia;;;;;5.105.576;CAN_BC;0;8,30;424;10;4;https://www.openstreetmap.org/#map=5/53.7267/-127.6476&layers=T;53.7267;-127.6476;67
2020-03-22 23:13;Europe;Southern Europe;386;SVN;Slovenia;;;;;;;;2.094.060;SVN;0;19,77;414;2;0;https://www.openstreetmap.org/#map=5/46.1512/14.9955&layers=T;46.1512;14.9955;68
2020-03-22 23:13;Asia;Southern Asia;91;IND;India;;;;;;;;1.359.238.350;IND;0;0,03;396;7;27;https://www.openstreetmap.org/#map=5/20.5937/78.9629&layers=T;20.5937;78.9629;69
2020-03-22 06:13;Asia;Eastern Asia;86;CHN;China;沪;;Shanghai;;;;;24.240.000;CHN_沪;0;1,63;394;4;328;https://www.openstreetmap.org/#map=5/31.2020/121.4491&layers=T;31.2020;121.4491;70
2020-03-22 20:43;Americas;Northern America;1;USA;United States;WI;;Wisconsin;;;;;5.686.986;USA_WI;0;6,70;381;4;0;https://www.openstreetmap.org/#map=5/44.2685/-89.6165&layers=T;44.2685;-89.6165;71
2020-03-22 11:13;Asia;South-eastern Asia;63;PHL;Philippines;;;;;;;;108.341.299;PHL;0;0,35;380;25;17;https://www.openstreetmap.org/#map=5/12.8797/121.7740&layers=T;12.8797;121.7740;72
2020-03-22 16:13;Europe;Eastern Europe;7;RUS;Russia;;;;;;;;146.780.720;RUS;0;0,25;367;0;16;https://www.openstreetmap.org/#map=5/61.5240/105.3188&layers=T;61.5240;105.3188;73
2020-03-22 23:13;Americas;South America;51;PER;Peru;;;;;;;;32.131.400;PER;0;1,13;363;5;1;https://www.openstreetmap.org/#map=5/-9.1900/-75.0152&layers=T;-9.1900;-75.0152;74
2020-03-22 22:43;Americas;Northern America;1;USA;United States;OH;;Ohio;;;;;11.536.504;USA_OH;0;3,08;355;3;0;https://www.openstreetmap.org/#map=5/40.3888/-82.7649&layers=T;40.3888;-82.7649;75
2020-03-22 16:13;Asia;Western Asia;973;BHR;Bahrain;;;;;;;;1.543.300;BHR;0;21,51;332;2;149;https://www.openstreetmap.org/#map=5/26.0667/50.5577&layers=T;26.0667;50.5577;76
2020-03-22 23:43;Africa;Northern Africa;20;EGY;Egypt;;;;;;;;100.072.195;EGY;0;0,33;327;14;56;https://www.openstreetmap.org/#map=5/26.8206/30.8025&layers=T;26.8206;30.8025;77
2020-03-22 16:13;Europe;Northern Europe;372;EST;Estonia;;;;;;;;1.328.360;EST;0;24,54;326;0;2;https://www.openstreetmap.org/#map=5/58.5953/25.0136&layers=T;58.5953;25.0136;78
2020-03-22 00:13;Asia;Eastern Asia;86;CHN;China;冀;;Hebei;;;;;75.560.000;CHN_冀;0;0,42;319;6;310;https://www.openstreetmap.org/#map=5/38.0428/114.5149&layers=T;38.0428;114.5149;79
2020-03-22 09:43;Asia;Eastern Asia;86;CHN;China;港;;Hong Kong;;;;;7.450.000;CHN_港;0;4,26;317;4;100;https://www.openstreetmap.org/#map=5/22.3000/114.2000&layers=T;22.3000;114.2000;80
2020-03-22 02:13;Asia;Eastern Asia;86;CHN;China;闽;;Fujian;;;;;39.410.000;CHN_闽;0;0,78;307;1;295;https://www.openstreetmap.org/#map=5/26.0789/117.9874&layers=T;26.0789;117.9874;81
2020-03-22 22:43;Americas;Northern America;1;USA;United States;NC;;North Carolina;;;;;9.535.483;USA_NC;0;3,17;302;0;0;https://www.openstreetmap.org/#map=5/35.6301/-79.8064&layers=T;35.6301;-79.8064;82
2020-03-22 14:13;Oceania;Oceania;61;AUS;Australia;VIC;;Victoria;;;;;6.594.804;AUS_VIC;0;4,49;296;0;70;https://www.openstreetmap.org/#map=5/-37.8136/144.9631&layers=T;-37.8136;144.9631;83
2020-03-22 23:13;Africa;Southern Africa;27;ZAF;South Africa;;;;;;;;58.775.022;ZAF;0;0,47;274;0;0;https://www.openstreetmap.org/#map=5/-30.5595/22.9375&layers=T;-30.5595;22.9375;84
2020-03-22 23:43;Americas;Northern America;1;CAN;Canada;AB;;Alberta;;;;;4.395.586;CAN_AB;0;5,89;259;1;0;https://www.openstreetmap.org/#map=5/53.9333/-116.5765&layers=T;53.9333;-116.5765;85
2020-03-20 00:43;Asia;Eastern Asia;86;CHN;China;桂;;Guangxi;;;;;49.260.000;CHN_桂;0;0,52;254;2;250;https://www.openstreetmap.org/#map=5/23.8298/108.7881&layers=T;23.8298;108.7881;86
2020-03-22 16:43;Europe;Southern Europe;385;HRV;Croatia;;;;;;;;4.076.246;HRV;0;6,23;254;1;5;https://www.openstreetmap.org/#map=5/45.1000/15.2000&layers=T;45.1000;15.2000;87
2020-03-22 11:13;Americas;Central America;52;MEX;Mexico;;;;;;;;126.577.691;MEX;0;0,20;251;2;4;https://www.openstreetmap.org/#map=5/23.6345/-102.5528&layers=T;23.6345;-102.5528;88
2020-03-21 01:43;Asia;Eastern Asia;86;CHN;China;陕;;Shaanxi;;;;;38.640.000;CHN_陕;0;0,64;248;3;239;https://www.openstreetmap.org/#map=5/35.1917/108.8701&layers=T;35.1917;108.8701;89
2020-03-22 16:13;Asia;Western Asia;961;LBN;Lebanon;;;;;;;;6.855.713;LBN;0;3,62;248;4;8;https://www.openstreetmap.org/#map=5/33.8547/35.8623&layers=T;33.8547;35.8623;90
2020-03-22 01:43;Americas;Central America;507;PAN;Panama;;;;;;;;4.218.808;PAN;0;5,81;245;3;0;https://www.openstreetmap.org/#map=5/8.5380/-80.7821&layers=T;8.5380;-80.7821;91
2020-03-22 15:13;Americas;Northern America;1;USA;United States;MD;;Maryland;;;;;5.773.552;USA_MD;0;4,23;244;3;0;https://www.openstreetmap.org/#map=5/39.0639/-76.8021&layers=T;39.0639;-76.8021;92
2020-03-22 16:43;Asia;Western Asia;964;IRQ;Iraq;;;;;;;;39.127.900;IRQ;0;0,60;233;20;57;https://www.openstreetmap.org/#map=5/33.2232/43.6793&layers=T;33.2232;43.6793;93
