Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;#
Africa;Southern Africa;267;BWA;Botswana;;;;;;;;2.338.851;254
Africa;Eastern Africa;257;BDI;Burundi;;;;;;;;10.953.317;255
Africa;Western Africa;232;SLE;Sierra Leone;;;;;;;;7.901.454;256
Europe;Western Europe;31;NLD;Netherlands;;X;;;;;;17.439.481;257
Africa;Eastern Africa;265;MWI;Malawi;;;;;;;;17.563.749;258
Europe;Northern Europe;44;GBR;United Kingdom;;X;;;;;;66.435.600;259
Americas;Northern America;508;SPM;Saint Pierre and Miquelon;;X;;;;;;6.008;260
Africa;Eastern Africa;211;SSD;South Sudan;;;;;;;;12.778.250;261
Africa;Northern Africa;212;ESH;Western Sahara;;;;;;;;582.463;262
Africa;Middle Africa;239;STP;São Tomé and Príncipe;;;;;;;;201.784;263
Asia;Western Asia;967;YEM;Yemen;;;;;;;;29.161.922;264
