Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;7.371.198.387;4,06;298.977;12.936;91.443;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
2020-03-21 02:43;Americas;Northern America;1;CAN;Canada;AB;;Alberta;;;;;4.395.586;4,44;195;1;0;https://www.openstreetmap.org/#map=5/53.9333/-116.5765&layers=T;53.9333;-116.5765;93
2020-03-21 02:43;Americas;Northern America;1;USA;United States;CT;;Connecticut;;;;;3.574.097;5,43;194;4;0;https://www.openstreetmap.org/#map=5/41.5978/-72.7554&layers=T;41.5978;-72.7554;94
2020-03-21 23:13;Americas;Northern America;1;USA;United States;MD;;Maryland;;;;;5.773.552;3,34;193;2;0;https://www.openstreetmap.org/#map=5/39.0639/-76.8021&layers=T;39.0639;-76.8021;95
2020-03-21 12:13;Asia;Western Asia;961;LBN;Lebanon;;;;;;;;6.855.713;2,73;187;4;4;https://www.openstreetmap.org/#map=5/33.8547/35.8623&layers=T;33.8547;35.8623;96
2020-03-21 21:13;Americas;Northern America;1;CAN;Canada;QC;;Quebec;;;;;8.522.800;2,12;181;5;0;https://www.openstreetmap.org/#map=5/52.9399/-73.5491&layers=T;52.9399;-73.5491;97
2020-03-21 20:43;Europe;Eastern Europe;421;SVK;Slovakia;;;;;;;;5.456.362;3,26;178;1;0;https://www.openstreetmap.org/#map=5/48.6690/19.6990&layers=T;48.6690;19.6990;98
2020-03-16 23:53;Asia;Eastern Asia;86;CHN;China;云;;Yunnan;;;;;48.300.000;0,36;176;2;172;https://www.openstreetmap.org/#map=5/24.9740/101.4870&layers=T;24.9740;101.4870;99
2020-03-21 12:13;Asia;Western Asia;965;KWT;Kuwait;;;;;;;;4.420.110;3,98;176;0;27;https://www.openstreetmap.org/#map=5/29.3117/47.4818&layers=T;29.3117;47.4818;100
2020-03-21 20:43;Europe;Southern Europe;381;SRB;Serbia;;;;;;;;6.963.764;2,46;171;1;1;https://www.openstreetmap.org/#map=5/44.0165/21.0059&layers=T;44.0165;21.0059;101
2020-03-21 23:13;Americas;Northern America;1;USA;United States;SC;;South Carolina;;;;;4.625.364;3,70;171;3;0;https://www.openstreetmap.org/#map=5/33.8569/-80.9450&layers=T;33.8569;-80.9450;102
2020-03-16 14:38;Asia;Eastern Asia;86;CHN;China;琼;;Hainan;;;;;9.340.000;1,80;168;6;161;https://www.openstreetmap.org/#map=5/19.1959/109.7453&layers=T;19.1959;109.7453;103
2020-03-21 17:43;Europe;Eastern Europe;359;BGR;Bulgaria;;;;;;;;7.000.039;2,33;163;3;3;https://www.openstreetmap.org/#map=5/42.7339/25.4858&layers=T;42.7339;25.4858;104
2020-03-21 02:43;Americas;Northern America;1;USA;United States;NV;;Nevada;;;;;2.700.551;5,96;161;2;0;https://www.openstreetmap.org/#map=5/38.3135/-117.0554&layers=T;38.3135;-117.0554;105
2020-03-21 12:13;Asia;Western Asia;374;ARM;Armenia;;;;;;;;2.957.500;5,41;160;0;1;https://www.openstreetmap.org/#map=5/40.0691/45.0382&layers=T;40.0691;45.0382;106
2020-03-21 15:13;Americas;South America;54;ARG;Argentina;;;;;;;;44.938.712;0,35;158;4;3;https://www.openstreetmap.org/#map=5/-38.4161/-63.6167&layers=T;-38.4161;-63.6167;107
