Last Update;World Region;ICC;ID;Country;;Province;;District;ZIP;Area;Population;Confirmed;Deaths;Recovered;#
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;125865;4615;67003;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2020-02-29T00:33:01;Western Europe;377;MCO;Monaco;;;;;;;38300;1;0;0;192
2020-03-10T06:13:43;Eastern Asia;976;MNG;Mongolia;;;;;;;3305182;1;0;0;193
2020-03-10T08:33:03;Southern Asia;977;NPL;Nepal;;;;;;;29609623;1;0;1;194
2020-03-11T23:13:07;Eastern Africa;262.B;REU;Réunion;;;;;;;853659;1;0;0;195
2020-03-07T02:13:09;Western Africa;228;TGO;Togo;;;;;;;7538000;1;0;0;196
2020-03-11T03:33:05;Western Asia;90.A;TUR;Turkey;;;;;;;83154997;1;0;0;197
2020-03-11T18:52:04;Northern America;1.X;USA;USA;05;Arkansas;;;;;2915918;1;0;0;198
2020-03-11T23:13:06;Northern America;1.X;USA;USA;10;Delaware;;;;;897934;1;0;0;199
2020-03-10T03:13:17;Northern America;1.X;USA;USA;20;Kansas;;;;;2853118;1;0;0;200
2020-03-10T03:13:17;Northern America;1.X;USA;USA;29;Missouri;;;;;5988927;1;0;0;201
2020-03-11T23:13:06;Northern America;1.X;USA;USA;30;Montana;;;;;989415;1;0;0;202
2020-03-10T03:13:17;Northern America;1.X;USA;USA;50;Vermont;;;;;625741;1;0;0;203
2020-03-03T15:33:02;Eastern Europe;380;UKR;Ukraine;;;;;;;41902416;1;0;0;204
2020-03-11T20:53:02;Northern Europe;44.F;GBR;United Kingdom;;;;;;;66435600;1;0;1;205
2020-02-29T02:03:10;Oceania;61;AUS;Australia;;;;;;;25631395;0;0;0;206
2020-03-11T02:18:28;Eastern Asia;86;CHN;China;5;Gansu;;;;;26370000;0;0;0;207
2020-03-11T02:18:29;Eastern Asia;86;CHN;China;10;Hebei;;;;;75560000;0;0;0;208
2020-03-10T02:33:04;Northern America;1.X;USA;USA;02;Alaska;;;;;710231;0;0;0;209
2020-03-10T02:33:04;Northern America;1.X;USA;USA;16;Idaho;;;;;1567582;0;0;0;210
2020-03-10T02:33:04;Northern America;1.X;USA;USA;23;Maine;;;;;1328361;0;0;0;211
2020-03-10T02:33:04;Northern America;1.X;USA;USA;28;Mississippi;;;;;2967297;0;0;0;212
2020-03-10T02:33:04;Northern America;1.X;USA;USA;38;North Dakota;;;;;672591;0;0;0;213
2020-03-10T02:33:04;Northern America;1.X;USA;USA;54;West Virginia;;;;;1852994;0;0;0;214
2020-03-10T02:33:04;Northern America;1.X;USA;USA;56;Wyoming;;;;;563626;0;0;0;215
2020-03-11T20:53:02;Western Asia;970;PSE;State of Palestine;;;;;;;4976684;0;0;0;216
